"rt","stimulus","response","participant","trial"
2776.19999980927,"videos/fs2yo.mp4",32,45,1
10726.9000000954,"dot2_26_52",28,45,2
2231.29999995232,"videos/fs1y.mp4",25,45,3
3907,"dot1_13",13,45,4
1644.30000019073,"videos/fs1o.mp4",27,45,5
2462.09999990463,"dot1_26",23,45,6
5182.70000000298,"videos/fs1yo.mp4",26,46,1
5215.39999999851,"dot1_13_26",42,46,2
2653.90000000224,"videos/fs2y.mp4",6,46,3
3092.59999999776,"dot2_26",26,46,4
2701,"videos/fs2o.mp4",32,46,5
3039.80000000075,"dot2_52",39,46,6
5608.69999998808,"videos/fs1yo.mp4",12,47,1
6593.5,"dot1_13_26",31,47,2
2541.39999997616,"videos/fs2y.mp4",15,47,3
5039.60000002384,"dot2_26",36,47,4
5704.20000004768,"videos/fs2o.mp4",24,47,5
2770.80000001192,"dot2_52",50,47,6
16630,"videos/fs1yo.mp4",15,48,1
5896,"dot1_13_26",30,48,2
2700,"videos/fs2y.mp4",6,48,3
4378,"dot2_26",30,48,4
2645,"videos/fs2o.mp4",15,48,5
2871,"dot2_52",40,48,6
4609,"videos/fs1yo.mp4",30,49,1
6898,"dot1_13_26",30,49,2
3952,"videos/fs2y.mp4",17,49,3
3585,"dot2_26",60,49,4
3115,"videos/fs2o.mp4",24,49,5
2700,"dot2_52",90,49,6
13261.099999994,"videos/fs1yo.mp4",28,50,1
12465.799999997,"dot1_13_26",25,50,2
7251.70000000298,"videos/fs2y.mp4",15,50,3
6405.39999999106,"dot2_26",35,50,4
3178.90000000596,"videos/fs2o.mp4",19,50,5
4085.69999998808,"dot2_52",27,50,6
4883.5,"videos/fs2yo.mp4",18,51,1
5591.80000019073,"dot2_26_52",60,51,2
4459.39999961853,"videos/fs1y.mp4",6,51,3
2029.40000009537,"dot1_13",13,51,4
1589.89999961853,"videos/fs1o.mp4",35,51,5
3259.10000038147,"dot1_26",30,51,6
3199.30000001192,"videos/fs2yo.mp4",30,52,1
5937.19999998808,"dot2_26_52",60,52,2
1821.80000001192,"videos/fs1y.mp4",45,52,3
2562.5,"dot1_13",14,52,4
1130.89999997616,"videos/fs1o.mp4",27,52,5
1593,"dot1_26",25,52,6
8479.5,"videos/fs1yo.mp4",19,53,1
10829.1000000238,"dot1_13_26",40,53,2
6052.39999997616,"videos/fs2y.mp4",16,53,3
11572.8000000119,"dot2_26",25,53,4
15532.4000000358,"videos/fs2o.mp4",19,53,5
6118.40000003576,"dot2_52",50,53,6
7097.60000000149,"videos/fs2yo.mp4",25,54,1
5319.29999999702,"dot2_26_52",50,54,2
2680.80000000075,"videos/fs1y.mp4",12,54,3
2654.90000000224,"dot1_13",15,54,4
2207.29999999702,"videos/fs1o.mp4",30,54,5
4613.39999999851,"dot1_26",30,54,6
5968.89999997616,"videos/fs1yo.mp4",25,55,1
7003.20000004768,"dot1_13_26",21,55,2
